Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-09-03,589.6058349609375,348.7328186035156,1.690709343967071,1.5163173299801709,Hold,525.5138522586452,11407.006307677248,11217.033890385721,2624.0401980629686
2025-09-04,591.9512329101562,348.8520812988281,1.6968545255806813,1.659622170509843,Hold,525.5138522586452,11452.382332835688,11220.869989610728,2673.2523224464167
2025-09-05,580.6019287109375,341.1294250488281,1.7019989660165846,1.779589856192027,Hold,525.5138522586452,11232.809226682808,10972.469803970227,2205.279030653037
2025-09-08,582.9671020507812,340.2149963378906,1.7135255891888934,2.0483892179382965,Sell MA and Buy V,525.5138522586452,11278.567843044086,10943.057092307463,2221.6249353515486
2025-09-09,580.3832397460938,341.89471435546875,1.6975496121378113,1.675831499132975,Hold,525.5138522586452,11228.578287547754,10997.085428398443,2225.663715946197
2025-09-10,575.7919921875,336.06048583984375,1.7133582091585293,2.044485937275923,Sell MA and Buy V,525.5138522586452,11139.752182452548,10809.426752492678,1949.1789349452265
2025-09-11,585.0840454101562,341.39776611328125,1.7137899057488735,2.054553045935406,Sell MA and Buy V,525.5138522586452,11319.523995140145,10981.101027226487,2300.625022366632
2025-09-12,576.8154907226562,337.36248779296875,1.7097795741790773,1.9610326323469918,Hold,525.5138522586452,11159.553638873345,10851.305805035068,2010.8594439084118
2025-09-15,579.3497924804688,336.98480224609375,1.7192163819227086,2.1810977685530766,Sell MA and Buy V,525.5138522586452,11208.584354688495,10839.15750308812,2047.7418577766148
2025-09-16,582.788330078125,337.9588317871094,1.7244358639671273,2.302815414841399,Sell MA and Buy V,525.5138522586452,11275.109171336977,10870.48728276174,2145.596454098719
2025-09-17,594.9227294921875,344.0912780761719,1.7289677693036114,2.4084988612186455,Sell MA and Buy V,525.5138522586452,11509.871384409811,11067.738169933305,2577.6095543431147
